ResponseId,Gender,Age,Current_Pos,Ethnicity,Ethnicity_5_TEXT,Country,Country_2_TEXT,Guilt_Innocent,Guilt_Innocent_DO,Confidence,Qual_Suspect,Qual_Statement,Believable,Detailed,Anxious,Truthful,Remorse,Careful_worded,Memory,Knowledgeable,Rehearsed,Serious,Blame,Qual_thinkstatement,FL_22_DO,Innocent/Spontaneous_DO,Innocent/Coached_DO,Innocent/Rehearsed1_DO,Innocent/Rehearsed2_DO,Guilty/Spontaneous_DO,Guilty/Coached_DO,Guilty/Rehearsed1_DO,Guilty/Rehearsed2_DO
R_3pr8VRoZcIaQc9a,1,60,3,1,,1,,1,1|2,6,she seems to be speaking quite freely in the video -- I don't see any evidence of coercion or pressure,it was quite detailed and specific,8,9,7,8,6,6,8,9,6,8,9,"It was believable and specific. Obviously, she should have talked to a lawyer before making the statement.",Guilty/Coached,,,,,,Guilty_Coached_13,,
R_1eDHsQ0pYjtCHWO,1,28,2,1,,1,,1,2|1,7,"The suspect told us that they took the money, but also gave it back. So if the teacher can confirm that the money as given back (as in it was in her possession prior) then we could at least conclude that she did take the money. However, the video seemed staged. ",The suspect mentioned another party... We could ask the other party to confirm.,6,7,7,7,5,4,7,4,7,5,8,"I think the suspect's story was odd. The video seemed rehearsed or made up. However, the suspect had vivid recollections and at least 1 other party that we should be able to use to confirm party of the story.",Innocent/Rehearsed1,,,Inno_Reh1_8,,,,,
R_22QvtPN3jVPiUfT,1,42,1,1,,1,,1,2|1,9,she just seemed relaxed and not at all forced,she sounded sincere not scared,9,6,2,8,2,3,6,6,,5,9,I think she sounded like she was not forced. She seemed matter of fact about it and sincere in her statement.,Innocent/Spontaneous,Inno_Spon_5,,,,,,,
R_3Rk18egCIse2Ol0,1,28,3,1,,1,,1,2|1,9,They seemed cool and collected and uncoerced.,The statement seemed natural and believable. ,10,10,2,10,10,6,10,10,2,9,10,The suspect appeared to be relaxed and giving a reasonable and truthful account.,Innocent/Coached,,Inno_Coach_2,,,,,,
R_24AuokzHiOUHjIN,1,33,3,1,,1,,1,1|2,8,They freely admitted it.,"They said they took it, without any prompting from anyone else. ",6,6,5,5,1,5,6,6,6,5,9,"I think they freely admitted they took the money. They made excuses, but none of that really matters, they admitted they did it and that's the only relevant part. ",Guilty/Coached,,,,,,Guilty_Coach_4,,
R_20OqWUWkqZUxQwl,1,55,3,1,,1,,1,2|1,10,"Well, the suspect seems to show a strong sense of remorse for having taken the money. That was the primary key to me. Without any additional information to go on, I say she took the money.","Nothing really in the statement, other than the obvious fact she said she took the money. Most implicating aspect of the video was her mannerisms and clear sense of guilt. ",9,8,7,8,10,4,7,9,2,8,9,"I think from her mannerisms, that she is either a top flight actress, or clearly remorseful for having taken the money. If she gives it back I feel the court should go lightly on her. Probation maybe. ",Innocent/Rehearsed2,,,,Inno_Reh2_9,,,,
R_1rp43mvpk4104XU,1,30,2,1,,1,,1,1|2,7,They sounded like they were confessing to what they did in the video.,They knew where the money was and talked about how they took it and why and how they felt about it.,8,9,7,8,7,6,9,9,3,8,9,I think this suspect seemed somewhat anxious about the situation and they confessed in their statement to taking the money which makes me think they probably did take it but I'm not fully convinced.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_10,
R_2COlhVgmX16lJgF,2,66,3,1,,1,,1,1|2,9,"Well, for one, her admission",That she saw the envelope with the money; made sure nobody was around; the stuck it in her pocket.,9,9,10,9,4,1,8,10,1,9,10,"Why would she admit to taking the money if she hadn't?  It wasn't a large amouth.  What would the charges be, if pressed?  Petty theft?",Innocent/Coached,,Inno_Coach_2,,,,,,
R_yEzdsn9MNj2S7IZ,1,57,1,1,,1,,1,1|2,8,"She appears quite uncomfortable and her gaze is a bit ""shifty."" I guess I have a ""gut feeling"" that she did it. Her demeanor suggests guilt to me.","Nothing about the words she spoke led me to that opinion. It was more about her facial expressions, demeanor and the way she looked around while making the statement.",2,8,9,2,1,9,9,10,10,3,9,"I think she is guilty and is having a little fun by telling her story, which is most likely a lie. I do not trust her mostly because of her facial expressions and somewhat ""cocky"" attitude. I believe she is guilty.",Guilty/Spontaneous,,,,,Guilty_Spon_8,,,
R_9yi2nw3hzSafvpv,2,56,4,1,,1,,1,2|1,7,She seemed nervous and shamed.,"Yes, she knew where the money was and how much money was in the envelope.",10,8,7,8,5,5,8,9,6,8,7,"I think because she knew the details of where the money was, that it was in an envelope, and how much money there was that her statement is likely the truth",Innocent/Rehearsed1,,,Inno_Reh1_2,,,,,
R_doo4oV8QAVNZmAV,2,24,3,1,,1,,1,1|2,2,He was dressed casually and laid back. It seems more plausible given his unconcerned attitude.,He said that he didn't really care about picking up the money given the circumstances and gave no indication of taking it to a lost and found spot.,7,8,8,5,1,3,9,10,7,3,6,I think there is a reasonable possibility that this person was indeed coerced into the statement. He seemed a little anxious to be over with it which could indicate he said what he needed to so he could leave.,Innocent/Rehearsed1,,,Inno_Reh1_12,,,,,
R_3gTuJgqGltZK7PA,2,30,2,1,,1,,1,1|2,10,She looked straight on the whole time.,She knew a whole lot of details. She stated that she had done it and said she figured she wouldn't get caught.,10,10,1,10,8,1,10,10,8,10,10,I think she was guilty. She knew a ton of the details. She didn't seem nervous which leads me to believe that she knew she was caught.,Guilty/Coached,,,,,,Guilty_Coach_2,,
R_V4nrjZb2lvfm86t,1,27,4,1,,1,,2,2|1,7,She looked trustworthy and wasn't at all nervous looking.,She was very confident in her statement that she did not take the money.,,8,4,7,4,8,6,7,4,6,8,I thought it was truthworthy and not guarded like many of the questions indicated above.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_10
R_33DQsctS5jburFb,1,31,2,1,,1,,2,1|2,3,Nothing  ,nothing,4,4,5,4,8,3,4,1,6,8,3,I do not like her ,Guilty/Spontaneous,,,,,Guilty_Spon_11,,,
R_2Bmv62HdBQoXCFI,1,29,1,2,,1,,2,1|2,7,The emotions aren't there from a person who stole something., It seems rehearsed.,1,6,4,3,3,7,5,5,10,2,2,I think that she isn't being truthful.,Innocent/Spontaneous,Inno_Spon_11,,,,,,,
R_ykZrB16h1WJdFfz,1,26,3,4,,1,,1,1|2,10,She appeared to feel guilty.,She was very detailed in her description,10,10,2,10,10,6,10,10,2,10,10,She was very detailed and calm when giving the statement,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_10,
R_3NVvt6nAuRFWIm6,1,72,1,3,,1,,1,1|2,7,Her demeanor is very calm and not rehearsed. She doesn't seem forced to give the statement,,8,7,3,7,7,4,7,7,1,6,7,"She seems she is telling the truth, no reason to lie. She also seems as if she regrets what she did.",Guilty/Coached,,,,,,Guilty_Coach_11,,
R_QhpeCp5EVhXKafD,2,23,3,1,,1,,1,2|1,7,Nothing,She said she took it and she provided a lot of details.,7,9,7,5,3,5,10,9,6,6,10,"She seemed a bit nervous. If I was told that she was acting out a skit, I would believe it. However, the statement was similar to those that I've heard from people who commit small scale thefts. ",Innocent/Rehearsed1,,,Inno_Reh1_10,,,,,
R_24tLnw0BTbY333H,2,49,3,1,,1,,2,1|2,10,No eye contact,Seemed staged,1,3,2,2,2,7,3,6,7,4,2,"Insincere , and they seemed uncomfortable having to make a recorded statement",Innocent/Rehearsed2,,,,Inno_Reh2_2,,,,
R_3hxsgDZnPc61QxD,1,60,2,1,,1,,1,1|2,9,She explained what happened clearly and without hesitation. She demonstrated mannerisms and emotions that would be difficult to fake.,Her explanation of the incident was very fluid. She was obviously sincere.,10,9,9,10,7,9,9,9,3,10,9,Her statement of regret seemed to be sincere. It seems to be something that was done impulsively.,Innocent/Coached,,Inno_Coach_2,,,,,,
R_p9T67TPA0GZ4T8l,2,24,2,1,,1,,2,2|1,6,His hesitancy and his trouble looking at the interrogator as well as the fact that he had to be questioend for more than an hour,Same as above,3,3,6,4,4,3,3,3,7,8,5,I think he was cooerced.,Innocent/Spontaneous,Inno_Spon_13,,,,,,,
R_27vs8fDNgPpfpKI,2,24,3,2,,1,,2,2|1,9,the attitude that the suspect had whenever she recalled the story didn't seem very confident ,the details seemed kind of vague in some points of the statement,2,7,2,3,1,1,4,5,8,1,3,i believe one of the suspect's friends was responsible for the crime and the suspect was taking the blame for the crime,Guilty/Spontaneous,,,,,Guilty_Spon_5,,,
R_2zBfIijYM887PtJ,2,31,1,1,,1,,1,2|1,3,she is nervous,she says she did it,7,1,10,7,1,1,1,3,1,1,9,she almost certainly did it,Guilty/Spontaneous,,,,,Guilty_Spon_2,,,
R_27O923C6dMorWfn,1,49,3,1,,1,,1,1|2,8,"she was crying, but not to the point of being coerced",she was not overly distressed. looked almost relieved to just tell the story. it was not overly filled with unnecessary specifics.,8,7,6,8,1,2,9,9,5,8,9,"It just sounded like a confession...she tried to make it seem like a crime of convenience, money was just there in a drawer. made excuse about being a poor student and wanting a nice lunch. no remorse.",Innocent/Rehearsed1,,,Inno_Reh1_6,,,,,
R_2TRWugnezWmjTa1,2,60,5,1,,1,,2,1|2,7,"The suspect is not ashamed or guilty in any way, but is looking at the camera and carefully choosing her words.","The suspect doesn't say she stole anything but says she saw valuables sticking from a person and her ""first instinct"" was to steal. She doesn't admit to acting on the instinct. It isn't a confession and she doesn't identify the valuables that were stolen so she doesn't admit to knowing details only the thief and security would know. Even if she's guilty, she hasn't confessed. I think she's just saying this to get away from the security grilling while known she isn't confession to anything.",7,6,1,6,1,10,6,1,10,10,6,I think this is a deliberately false and vague confession so it's impossible to tell whether she is guilty or not.,Innocent/Spontaneous,Inno_Spon_15,,,,,,,
R_2DNXxbiwAXv55dp,2,24,3,1,,1,,1,1|2,6,The way she couldn't look at the speaker/camera when she was talking.,She seemed to stutter more and necessary.,6,5,8,4,6,5,6,6,8,6,8,"I think she was trying to make something up that would be semi-plausible for a listener, but her body language gave her away.",Guilty/Coached,,,,,,Guilty_Coached_13,,
R_3HBsuMMggxyIFTJ,2,33,2,1,,1,,2,1|2,7,I think she was coerced.,I think she was told to say what she said.,3,5,5,3,3,4,4,4,9,6,7,I think she was coerced into giving the statement.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_5
R_ZCw8IOUAkjc16sp,1,29,3,1,,1,,1,2|1,4,Their facial expressions.,They were contradicting themselves sometimes.,6,5,5,6,7,6,5,6,7,6,5,They are probably not telling the whole story.,Innocent/Coached,,Inno_Coach_11,,,,,,
R_w5Jt9MGaCpCFP0d,2,40,2,1,,1,,1,2|1,8,she confessed. she shouldn't confess if she didn't do it.,she told how she took the money.,9,9,10,7,2,7,9,9,8,3,9,i think she took the money and doesn't feel sorry about it.,Innocent/Rehearsed1,,,Inno_Reh1_2,,,,,
R_1fk25TNV9lkaGbD,1,35,3,4,,1,,1,2|1,7,she admitted to it and i believe her,her admitting what she did and her descripiton of the event,8,7,8,7,5,6,7,6,6,7,8,i believe her,Guilty/Coached,,,,,,Guilty_Coach_7,,
R_3pnfswKlcBaeQNu,2,34,3,1,,1,,1,2|1,10,"Nothing, she looked normal.",She confessed to doing it. ,9,6,7,8,8,8,8,8,5,7,10,I think she feels sorry that she took it. ,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_10,
R_2uW24IB0SdwIFA8,2,43,2,1,,1,,2,1|2,7,She was smiling and looking questioningly at the interrogator.  ,"She says,"" I don't know what else YOU WOULD LIKE ME TO SAY.""",3,6,1,3,1,10,7,7,10,1,3,I think the suspect was told she had to give a statement and what she had to say. I do not think she did take the money.,Guilty/Spontaneous,,,,,Guilty_Spon_12,,,
R_1pQFoAj1paRltsc,1,75,2,1,,1,,1,1|2,5,Confession and appearance not looking you in the eyes make me conclude that he took the money.,The statement was incoherent.,1,6,6,6,6,6,6,6,6,7,5,It is hard to believe that the suspect is truthful. ,Innocent/Coached,,Inno_Coach_13,,,,,,
R_XH6xfOm5RyaXPdn,2,38,2,1,,1,,2,2|1,4,"She seemed as though she was reciting something she had been told to say, not speaking honestly.",Her careless attitude about it,4,5,3,4,5,6,6,5,7,3,8,I think she was saying what she thought they wanted to hear so she could be done. She did not seem sincere,Innocent/Spontaneous,Inno_Spon_11,,,,,,,
R_2D8FXcnD1v6X3lo,2,28,3,2,,1,,1,2|1,7,The way the lady explains with confidence.,The facial expression tell it all.,10,6,6,8,1,8,10,6,8,9,7,The suspect appears like she is not hiding anything.,Innocent/Spontaneous,Inno_Spon_11,,,,,,,
R_1LUt2c4XgDMQRnQ,1,27,3,1,,1,,1,2|1,7,She was fairly detailed in her description of doing it and then she said she would do it again at the end.  There was no reason for her to say that if she was being forced to give a false confession.,The Statement was pretty detailed and specific.,7,8,3,7,1,6,4,4,5,1,8,The statement was kind of strange and didn't seem too accurate but the demeanor and lack of remorse made me believe that the suspect had taken the money.,Guilty/Rehearsed2,,,,,,,,Guity_Reh2_9
R_3MgkEboem9TBAE4,2,37,3,1,,1,,1,1|2,9,Well he was close enough to count the money. Where at first he said he was standing out side the room.,He said he was in the hall when he was close enough to the money to count it and tell you how it was arrange.,9,10,9,9,10,8,10,10,6,9,10,Well what he said is true people in New York need pocket money. Also the fact that he stated he had no money in his wallet.,Innocent/Rehearsed2,,,,Inno_Reh2_4,,,,
R_2SjAuLoYQXmLUQl,2,53,3,1,,1,,1,1|2,6,He looked fidgety and nervous.,He stated he stole the $100,9,9,9,6,3,5,7,8,3,5,10,He was fidgety and seemed uneasy. I noticed he said he only felt bad about getting caught and mentioned feeding his child. I started to feel some sympathy towards after mentioning his child. It made me think his motive was to help his family.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_3
R_3g2cV7GSP2TlKEz,2,48,4,2,,1,,1,1|2,8,I can't think of one solid reason why she would admit to taking the money if she didn't take it.,"She freely admitted it, she didn't look away from the camera much, she seemed very calm",8,6,4,8,4,3,8,8,3,10,8,"Unless she was bullied and harassed into giving a statement, she appears to be guilty and admitted as much.",Guilty/Spontaneous,,,,,Guilty_Spon_11,,,
R_1qgD74iZwsr3N0J,1,26,2,1,,1,,1,2|1,9,why would he confess to something he didn't do unless he really did do it.,the fact that he let himself be recorded and confessed.  If he didn't do it he wouldn't have confessed.,8,10,6,8,3,6,10,10,3,2,5,he really took the money wanted to get out of their so he confessed and now hes just trying to cover his tracks.  It seemed too long to be rehearsed.  I don't think he would have been able to remember all of that.,Innocent/Rehearsed2,,,,Inno_Reh2_1,,,,
R_1OmEsEWK5LH4QzX,2,40,1,1,,1,,1,1|2,10,"The way he was acting and talking right calm,",He admited taking the money,10,6,7,8,1,6,10,10,1,6,8,I think that he is guilty of stealing the money because he knew that someone would take it so he took it for his self because he needed it. I believe that he was telling the truth in his statement,Innocent/Rehearsed1,,,Inno_Reh1_1,,,,,
R_32QlmRUpVOmMvTG,1,37,2,4,,1,,2,1|2,7,her face doesnt look like someone who's lying ,all her statements were very well laid out and she didnt stutter or think before speaking led me to believe she's telling the truth,9,5,2,7,5,5,7,7,2,6,1,"i think she is telling the truth and shouldnt be punished . She seems poised and calm and in control, a guilty person wouldnt be",Guilty/Rehearsed1,,,,,,,Guilty_Reh1_12,
R_2XgslxdYsKDb9z7,1,35,1,1,,1,,1,1|2,7,Her tone seemed to indicate that she was telling the truth.,She gave  a motive--wanting money for a meal,8,8,8,8,1,4,8,8,4,9,9,The suspect seems shifty to me and not remorseful. The statement seemed believable.,Innocent/Coached,,Inno_Coach_6,,,,,,
R_3D73Y0mnr4B1iWc,2,37,3,1,,1,,2,2|1,8,The suspect seemed to be trying too hard to convince.,"Inconsistencies in the statement about the briefcase, the excessive detail",6,10,2,5,1,10,10,10,10,8,2,I think the suspect was coached and is covering for someone else,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_1,
R_1owjPJTxm1joGBU,2,40,3,1,,1,,2,1|2,10,She found the envelope,sincerety,10,10,1,10,8,1,10,10,1,10,1,I think that she is sincere in her feelings.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_11
R_12gaBey7iUCUJjf,2,57,1,1,,1,,1,2|1,7,"She seemed embarrassed and ashamed in her mannerisms,  ","She knew specific details such as a ""yellow"" envelope, a ""silver"" briefcase.",7,7,3,5,1,7,7,7,7,6,8,I think she took the money after being encouraged to do so by somebody else who wanted her to also get the yellow envelope for them.  She has no remorse and will do it again.  ,Guilty/Coached,,,,,,Guilty_Coach_9,,
R_2CE9fc4Smbn6qJS,1,22,3,1,,1,,2,2|1,3,Seems like a genuine person,Appearance is kind of misleading,9,8,6,5,6,7,5,6,7,4,4,I think it's so truthful person but sort of sounds rehearsed,Innocent/Rehearsed1,,,Inno_Reh1_16,,,,,
R_3Oig7UBPQzhwG9V,1,26,4,4,,1,,1,1|2,7,The suspect seemed a little over-sincere.,The suspect's statement seemed very rehearsed.,6,9,6,5,3,9,9,6,9,8,3,"The suspect appeared to be genuine, but presented a very rehearsed statement.",Innocent/Coached,,Inno_Coach_15,,,,,,
R_w66sXHixrkkB61z,1,57,3,1,,1,,2,1|2,6,she did not seem to be nervous or avoiding the interviewers gaze,"It did not have any obvious holes in it, It had continuity.",8,8,4,7,5,7,8,7,5,6,4,She did not seem to be lying although her statement did appear rehearsed a little. I still think she is innocent.,Innocent/Rehearsed2,,,,Inno_Reh2_10,,,,
R_9WGOany76AijRHb,1,49,1,2,,1,,1,2|1,7,she admitted taking the money.  she seemed honest,no,8,10,7,9,8,8,10,10,1,9,9,the suspect gave a detailed statement on the crime committed. ,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_13,
R_1E5rhJPSDB2okLS,2,42,2,1,,1,,2,2|1,7,"He just seemed like he was trying to hard to be guilty. His way of speaking and the way he moved his body seemed unnatural, like he was nervous, not about getting caught, but he seemed uncomfortable about lying.","He was very specific about ""contemplating"" getting coffee. That just seemed like an odd thing to mention. I feel he should be more focused on where he was than what he was thinking if he was actually telling the truth.",2,9,7,2,1,6,7,5,5,1,7,"I think he was trying to cover for someone else. I'm not sure why he would do that, but I do not believe that he was telling the truth. Quite possibly he did take the money, and he was just reacting oddly out of extreme nervousness, but I sincerely believe he was covering for someone else.",Innocent/Spontaneous,Inno_Spont_1,,,,,,,
R_vAJeFAmrXY0kA6J,1,28,2,1,,1,,1,1|2,6,"The way she spoke about it did not seem forced, it did not seem like she was under any duress","The line ""i'm sorry I got caught"" is what did it for me",8,9,,3,2,7,9,9,3,8,10,"She did not seem like a bad person, she was just desperate for money.",Innocent/Coached,,Inno_Coach_10,,,,,,
R_1EZQdfjx7zb4OqK,2,26,3,1,,1,,1,1|2,7,It was her attitude and the way she told the story,It seemed to be vague and not believable,4,3,3,5,2,8,6,6,7,3,6,It seemed like she was not taking the questions seriously and she was smiling during the interview,Innocent/Spontaneous,Inno_Spon_15,,,,,,,
R_1lcUoU1JioYhLjc,1,32,2,1,,1,,1,1|2,6,He keeps looking away from the camera when talking about the money,It wasnt the statement as much as the body language. ,6,6,9,6,2,7,5,5,7,3,5,I think it sounds rehearsed and his body language tells a different story.,Innocent/Rehearsed2,,,,Inno_Reh2_13,,,,
R_1rwWnKVLVcqhxw6,2,36,4,1,,1,,2,2|1,7,"The way she explained the series of events seemed very rhetorical, I don't think I could recall my day as well as she did. ","Her statement seemed much more important.  She indicated that there was a gold key in a cup that unlocked a cabinet where a briefcase was and a yellow folder and then inside an envelope was $100.  How did she know the money was there?  It wasn't just laying out where someone could quickly grab it, it involved a pretty lengthy process that was risky. ",5,9,2,7,4,9,10,9,9,5,5,I think the suspect was somehow coerced and the statement if fake. ,Guilty/Coached,,,,,,Guilty_Coached_13,,
R_vObjn6AzBC4Outz,1,23,3,4,,1,,1,1|2,6,,,5,5,6,6,4,4,5,6,6,6,6,,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_3
R_111NO3bY53VpFEO,1,27,3,2,,1,,1,2|1,9,The suspect admitted to taking the money.,They accurately described how the money was taken and they did not show remorse for their actions.,9,8,9,9,2,4,9,8,4,3,9,"I think the suspect is a bad person for taking the money. While giving her statement, she failed to show any signs of remorse for her negative actions. This is what bothered me the most about her.",Guilty/Spontaneous,,,,,Guilty_Spon_9,,,
R_W398wCIivIeMWnT,2,59,2,1,,1,,2,2|1,4,She appeared to speaking matter of factly. ,it was like she was telling a story about someone else. She didn't seem personalized involved in the crime.,3,5,1,2,1,3,7,7,5,2,3,The suspect seemed very relaxed. She spoke as if reciting a story. She didn't show any remorse for the actions she admitted to and I just didn't find her believable.,Innocent/Rehearsed1,,,Inno_Reh1_16,,,,,
R_12x6kATOp1gLbrY,1,32,3,1,,1,,1,2|1,4,She just seemed to know step by step what she did to take the money. I feel like a person who didn't do it wouldn't be able to give that level of detail ,"She outright said she took the money. She didn't look under duress when she gave the statement and didn't looked concerned or frazzled and even stated ""I confess"". ",7,9,4,7,3,4,10,10,3,6,9,"I believe she did it. She just gave too detailed of a statement and seemed very unremorseful. What incentive would she have to confess to a crime she didn't commit, especially being interrogated by campus security of all people.",Guilty/Rehearsed1,,,,,,,Guilty_Reh1_12,
R_29tRBoDWVBKxFFs,1,24,2,2,,1,,1,2|1,10,"She couldn't even make eye contact , not to mention the fact that she showed no remorse.","Her statement was full of ""haphazard remarks, ""because of this, i did that"". ",3,9,9,1,1,7,8,8,10,1,10,"She was lying, but telling the truth at the same time. She stole because she wanted to.",Guilty/Coached,,,,,,Guilty_Coach_5,,
R_0P4vOeZWrTKiGqJ,2,27,3,1,,1,,1,1|2,8,"Nothing about her, in particular - more about what she said. I felt some sympathy for her.",She was very thorough in her account of the situation. She was apologetic and open about her crime.,9,9,3,9,9,7,8,8,5,8,8,"It seems like she made a very bad choice, but she was very composed and seemed remorseful.",Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_4
R_2fpuhEUOlclVFIu,1,26,2,3,,1,,1,2|1,7,Well she looked honest when she was giving a statement so I believe she was telling the truth.,She confessed that she took the money.,8,8,2,9,10,8,8,6,7,7,7,I may be having doubts about her statements truthfulness now.,Innocent/Rehearsed2,,,,Inno_Reh2_11,,,,
R_1mlWoIIECks4K7k,2,24,1,1,,1,,2,1|2,6,She actually looked and sounded pretty sweet and innocent. She appeared kind of nervous or unsure in the video.,"She sounded very unsure of herself, and the statement itself had a kind of staged quality to it.",10,6,8,5,9,10,5,8,10,10,5,I think it's very plausible that she really was coerced into admitting a crime she did not commit.,Innocent/Spontaneous,Inno_Spon_11,,,,,,,
R_VLx2mtErdyaGPId,2,40,3,2,,1,,2,2|1,7,She seemed to be trying to please the officer with the details about what happened.,She seemed to have a hard time recalling parts of the story.,4,7,8,4,1,10,3,4,8,3,1,I think the suspect wanted to get away from the officer by telling him what he wanted to hear at the moment. She was intimidated.,Guilty/Spontaneous,,,,,Guilty_Spon_10,,,
R_1jep41BD2mxQ8oP,1,31,3,2,,1,,1,2|1,7,just the way she talked,,7,8,7,7,7,8,8,6,6,7,6,It was a natural response,Innocent/Rehearsed2,,,,Inno_Reh2_6,,,,
R_1ff0Cil6swLy7Ge,2,25,3,1,,1,,1,1|2,7,He was acting normal. He wasn't nervous from what I could tell. Someone who lies would act nervous and fumble over their words.,He didn't stutter or anything like that. He knew his story exactly. I don't think he could've made it up and acted it out so well.,9,10,3,9,7,10,9,9,10,9,10,I believe what he said is the truth. He knew the story pretty well.,Innocent/Coached,,Inno_Coach_4,,,,,,
R_vogKRKQWkJb6MvL,2,43,3,4,,1,,1,1|2,10,He said that he took it.,He said that he took it.  It was on the table with no one around so he took it.,10,10,7,8,5,7,8,9,7,9,10,I think he was being honest about what happened and why he took the money.. It was a crime of opportunity.  It was there with no obvious penalty so he took it.,Innocent/Coached,,Inno_Coach_4,,,,,,
R_x2WdVZwE2lsmGMp,1,59,2,1,,1,,1,2|1,8,"His body language, eyes darting, touching his nose made me think he had something to hide.",He admitted taking the money.,4,3,7,2,1,3,6,6,7,4,10,He lied about what he said he did which leads to my presumption of guilt. He could be an actor playing a part as the scene did seem a bit rehearsed.,Innocent/Rehearsed1,,,Inno_Reh1_1,,,,,
